Date,Closing price
4/03/2018,"11,512.60"
5/03/2018,"11,573.30"
6/03/2018,"10,779.90"
7/03/2018,"9,965.57"
8/03/2018,"9,395.01"
9/03/2018,"9,337.55"
10/03/2018,"8,866.00"
11/03/2018,"9,578.63"
12/03/2018,"9,205.12"
13/03/2018,"9,194.85"
